date,close,const
10-May-12,99.55,1900
8-May-12,76.86,1900
6-May-12,67.62,1900
4-May-12,64.48,1900
2-May-12,60.98,1900
1-May-12,58.13,1900
30-Apr-12,53.98,1900
27-Apr-12,67,1900
26-Apr-12,89.7,1900
25-Apr-12,99,1900
24-Apr-12,90.28,1900
23-Apr-12,106.7,1900
20-Apr-12,94.98,1900
19-Apr-12,85.44,1900
18-Apr-12,73.34,1900
17-Apr-12,53.7,1900
16-Apr-12,50.13,1900
13-Apr-12,65.23,1900
12-Apr-12,62.77,1900
11-Apr-12,66.2,1900
10-Apr-12,68.44,1900
9-Apr-12,66.23,1900
5-Apr-12,63.68,1900
4-Apr-12,64.31,1900
3-Apr-12,69.32,1900
2-Apr-12,61.63,1900
