date,close,const
1-May-12,258.13,1900
30-Apr-12,353.98,1900
27-Apr-12,217,1900
26-Apr-12,789.7,1900
25-Apr-12,899,1900
24-Apr-12,130.28,1900
23-Apr-12,86.7,1900
20-Apr-12,94.98,1900
19-Apr-12,25.44,1900
18-Apr-12,43.34,1900
17-Apr-12,43.7,1900
16-Apr-12,80.13,1900
13-Apr-12,605.23,1900
12-Apr-12,22.77,1900
11-Apr-12,26.2,1900
10-Apr-12,28.44,1900
9-Apr-12,36.23,1900
5-Apr-12,233.68,1900
4-Apr-12,124.31,1900
3-Apr-12,729.32,1900
2-Apr-12,218.63,1900
30-Mar-12,399.55,1900
29-Mar-12,609.86,1900
28-Mar-12,317.62,1900
27-Mar-12,214.48,1900
26-Mar-12,806.98,1900
